x;y_myfunction;y_fromLibrary
5,8;1,54133333333334;1,54133333333334
5,9;1,28516666666668;1,28516666666668
5,99999999999999;1,00000000000002;1,00000000000002
6,09999999999999;0,684833333333344;0,684833333333352
6,19999999999999;0,33866666666669;0,338666666666688
6,29999999999999;-0,0394999999999683;-0,0394999999999749
6,39999999999999;-0,450666666666628;-0,450666666666637
6,49999999999999;-0,8958333333333;-0,895833333333301
6,59999999999999;-1,37599999999997;-1,37599999999996
6,69999999999999;-1,89216666666663;-1,89216666666662
6,79999999999999;-2,44533333333329;-2,44533333333329
6,89999999999999;-3,03649999999993;-3,03649999999995
6,99999999999999;-3,66666666666661;-3,66666666666661
7,09999999999999;-4,33683333333327;-4,33683333333327
7,19999999999999;-5,04799999999992;-5,04799999999993
7,29999999999999;-5,80116666666657;-5,80116666666659
7,39999999999999;-6,59733333333325;-6,59733333333325
7,49999999999999;-7,43749999999991;-7,43749999999991
7,59999999999999;-8,32266666666655;-8,32266666666657
7,69999999999999;-9,25383333333323;-9,25383333333322
7,79999999999999;-10,2319999999999;-10,2319999999999
7,89999999999999;-11,2581666666665;-11,2581666666665
7,99999999999999;-12,3333333333332;-12,3333333333332
8,09999999999999;-13,4584999999999;-13,4584999999999
8,19999999999999;-14,6346666666665;-14,6346666666665
8,29999999999999;-15,8628333333332;-15,8628333333332
8,39999999999999;-17,1439999999998;-17,1439999999998
8,49999999999999;-18,4791666666665;-18,4791666666665
8,59999999999999;-19,8693333333331;-19,8693333333331
8,69999999999999;-21,3154999999998;-21,3154999999998
8,79999999999998;-22,8186666666664;-22,8186666666664
8,89999999999998;-24,3798333333331;-24,3798333333331
8,99999999999998;-25,9999999999997;-25,9999999999997
9,09999999999998;-27,6801666666664;-27,6801666666664
9,19999999999998;-29,4213333333331;-29,421333333333
9,29999999999998;-31,2244999999997;-31,2244999999997
9,39999999999998;-33,0906666666663;-33,0906666666663
9,49999999999998;-35,020833333333;-35,020833333333
9,59999999999998;-37,0159999999996;-37,0159999999996
9,69999999999998;-39,0771666666663;-39,0771666666663
9,79999999999998;-41,2053333333329;-41,2053333333329
9,89999999999998;-43,4014999999996;-43,4014999999996
9,99999999999998;-45,6666666666662;-45,6666666666662
10,1;-48,0018333333329;-48,0018333333329
10,2;-50,4079999999995;-50,4079999999995
10,3;-52,8861666666662;-52,8861666666661
10,4;-55,4373333333328;-55,4373333333328
10,5;-58,0624999999995;-58,0624999999994
10,6;-60,7626666666661;-60,7626666666661
10,7;-63,5388333333327;-63,5388333333327
10,8;-66,3919999999994;-66,3919999999993
10,9;-69,323166666666;-69,323166666666
11;-72,3333333333326;-72,3333333333326
11,1;-75,4234999999993;-75,4234999999993
11,2;-78,5946666666659;-78,5946666666659
11,3;-81,8478333333325;-81,8478333333325
11,4;-85,1839999999992;-85,1839999999992
11,5;-88,6041666666658;-88,6041666666658
11,6;-92,1093333333324;-92,1093333333324
11,7;-95,7004999999991;-95,7004999999991
